99971 2
15 87 56022
45 63 16885
15 52 87966
45 69 96508
75 32 77160
91 27 12638
19 93 86740
89 61 51153
64 24 98475
10 21 16090
27 41 47832
86 31 19140
32 68 54379
31 87 77488
2 50 2341
71 40 72803
99 88 43811
100 16 96716
19 18 89790
96 80 13836
41 65 60960
46 44 2897
94 70 73941
45 8 12348
6 40 29646
16 52 24461
47 99 18175
19 67 21889
78 92 54812
49 66 70981
51 65 51328
40 82 71729
25 44 56130
85 88 37380
18 24 51317
6 79 28403
88 54 94173
36 97 1272
47 34 36379
83 70 20572
33 86 15734
88 23 13098
93 20 66512
7 23 17086
57 57 34827
87 99 45857
76 29 72902
29 46 1915
43 14 71767
7 71 41572
63 2 88604
89 53 48784
13 14 61965
65 87 90771
37 98 6771
19 68 83792
16 42 56831
44 53 37475
90 57 70345
95 77 58289
74 89 44120
74 8 1347
41 24 85165
37 60 99600
6 39 81056
38 9 54489
73 46 71757
56 51 92175
51 19 90049
77 43 68039
100 34 85377
42 97 20697
71 12 66927
16 85 77133
7 98 5837
81 61 58144
43 16 51122
80 50 36707
4 71 77704
62 58 22943
22 88 38228
71 3 1515
47 84 46211
2 75 36955
61 81 62879
50 59 77505
84 10 15087
18 78 80456
19 13 42840
88 55 87763
79 59 19572
83 22 58857
78 72 21144
22 5 69217
33 41 55707
28 5 590
65 15 18524
86 86 43908
40 94 53431
94 9 82741
70 73 7626
99 73 24271
5 38 71355
42 79 54271
56 88 71762
50 16 85928
14 9 75249
5 21 6471
42 64 4706
53 49 20603
18 60 47985
42 81 63187
8 100 52342
49 28 34592
11 95 92858
8 2 52503
33 95 8401
92 86 7811
20 83 10749
2 76 28863
37 31 18795
74 24 21090
41 4 58565
6 58 22792
88 79 86721
18 30 81913
36 61 66694
60 86 50888
20 82 63613
76 36 33256
19 87 41758
75 39 64452
16 17 27154
61 93 60739
76 40 49960
46 98 13813
12 98 57901
75 4 8010
77 2 47186
98 20 33361
37 52 30065
26 85 71750
21 37 20302
12 76 16878
80 26 83087
61 95 42176
5 64 97462
19 5 77327
17 20 49228
14 19 40439
29 47 94077
72 92 45925
72 75 58260
100 57 75551
81 7 34010
5 42 3632
31 32 18006
51 79 88160
32 85 38867
21 6 2780
13 51 58180
81 66 79134
32 79 27938
70 76 33724
77 71 46722
61 56 47777
80 6 22824
73 93 91367
80 98 66979
41 100 46293
65 73 77763
35 70 17875
60 12 19311
21 61 48525
6 48 91173
15 56 10547
64 36 76863
46 17 81582
85 90 73004
85 88 92754
72 75 55534
79 13 63232
26 17 37708
67 85 93973
33 15 75901
55 56 71313
95 61 40595
58 2 15688
88 25 51052
37 23 68809
4 60 44955
9 25 65309
21 75 300
55 82 74246
52 47 11876
35 59 42396
81 65 62074
22 94 57045
55 33 60578
46 7 41323
41 97 24777
72 37 66650
57 32 52523
43 80 89410
59 28 60487
54 28 15728
67 95 90507
88 13 56095
36 19 23464
10 12 58551
38 75 29983
14 88 72144
15 23 87997
96 12 36223
64 8 48534
77 63 96549
95 55 45762
32 36 81322
24 69 49554
12 47 15900
46 37 24572
70 17 11303
71 94 51639
18 32 66717
42 14 30729
91 63 3013
52 72 31103
40 94 51399
39 30 27208
92 84 32805
25 51 21920
6 90 54003
33 76 68028
34 84 98373
4 37 85741
47 39 88828
40 62 49105
11 11 76750
39 13 21806
24 87 10946
62 36 10386
56 59 99520
66 32 67069
34 65 46372
63 13 55355
87 73 47945
53 51 58744
53 53 85253
15 14 77584
67 3 96706
51 49 98043
33 79 24245
91 73 87833
22 28 90197
92 33 90747
79 5 29210
100 9 55715
50 61 94931
29 30 28626
5 86 87550
35 33 9294
24 54 17942
63 74 66319
79 7 99525
13 77 35645
47 5 70978
23 87 66211
15 79 33792
30 19 14272
94 100 56886
9 37 23544
93 68 65329
81 25 151
67 49 93348
4 17 74954
34 62 75630
45 45 70127
55 6 25042
82 80 65365
20 65 51957
100 44 64209
43 95 99115
20 71 13002
95 88 70899
29 57 46707
46 40 62446
21 46 63746
44 2 15434
81 63 69971
80 35 73181
71 19 41793
83 21 97025
73 85 81374
96 93 47426
19 22 29226
3 99 66295
69 65 56320
18 43 6919
73 75 61680
78 53 53033
73 10 99301
90 76 54414
95 40 6254
61 56 48687
7 98 9860
19 54 1055
91 96 8580
33 36 32224
80 35 49232
79 40 55542
93 98 98983
83 63 15703
79 52 70882
54 68 22699
53 48 88873
22 43 61412
67 58 19497
65 43 63755
54 21 97970
58 2 8073
21 35 76452
35 43 21463
28 42 73675
82 95 99828
40 47 87625
34 65 49815
10 94 47089
15 46 99711
4 56 28397
74 46 17783
77 52 92884
8 88 64155
78 24 23046
46 3 7365
16 19 83402
36 15 60125
99 50 98757
83 9 94956
85 1 27614
22 34 71428
45 15 42638
37 64 92804
29 98 36640
62 54 15715
64 64 12872
35 10 4851
33 16 72437
11 52 7642
7 4 29435
19 7 10308
99 74 44621
40 40 92208
69 29 26751
33 12 44956
95 56 41353
34 55 23413
54 7 47608
19 73 9404
61 31 68650
35 82 91539
87 45 70554
58 56 30589
87 85 37072
58 18 35260
83 39 60323
85 49 65754
99 51 97357
86 52 98088
23 14 73184
56 81 14595
99 35 9108
2 88 51748
17 55 80908
56 34 56711
64 6 94626
64 13 77851
14 58 4442
44 8 42868
83 21 71621
18 49 83253
77 79 43922
75 76 53802
49 55 48777
11 17 13941
14 92 15080
28 51 39181
81 97 19539
3 13 83168
15 29 61783
97 15 47626
100 44 43657
99 30 88642
94 14 22022
11 32 25806
76 81 87113
77 6 29677
92 52 93651
36 15 86245
44 64 83738
36 5 47375
8 85 18586
4 8 64062
11 98 23330
22 1 70076
84 71 79005
13 65 60958
50 37 74869
74 91 3688
56 58 47405
24 16 21723
12 38 84442
29 68 20949
29 60 96618
40 58 1070
16 19 15385
47 51 88344
69 6 14585
3 90 82603
26 89 69888
13 76 6312
75 72 76997
15 7 3117
45 67 51098
8 20 61248
18 45 94701
71 39 16028
90 62 64026
21 89 35361
13 78 19090
56 96 5251
25 34 64661
40 5 3797
61 88 31801
91 44 51691
5 93 43403
57 27 71668
62 49 71316
44 79 39925
16 6 15442
40 50 66175
41 43 60302
91 74 96628
27 51 69738
33 44 61082
64 41 52423
40 77 71105
47 57 33301
12 7 6167
6 34 25127
44 8 5710
84 43 22928
5 39 53411
62 84 98073
68 4 30452
94 16 8134
91 41 32335
49 81 38823
36 64 41532
41 28 43129
63 47 23479
38 62 97284
72 55 69563
78 69 51264
54 68 80175
32 15 7301
20 86 21677
89 56 17546
49 2 80606
1 46 96341
78 18 69101
11 15 27107
100 32 54720
88 12 79307
44 59 64214
22 30 74897
36 33 82428
75 57 91230
80 68 77576
31 38 56187
63 33 93676
37 30 47120
44 24 43960
87 50 45289
56 91 97123
9 74 52309
100 29 65744
13 18 55013
59 99 82036
60 50 98485
64 89 57988
61 74 97811
94 67 6552
9 29 79567
98 73 52792
47 31 56873
10 42 34280
29 83 3033
3 25 4728
36 58 13257
24 2 97770
41 57 24428
60 48 69170
17 38 75434
10 30 46594
26 30 85973
11 78 700
29 96 8868
21 57 25852
97 85 17265
75 55 29518
13 15 220
63 84 1344
97 76 60403
30 57 98325
38 30 97876
84 11 33061
66 68 18365
87 18 34515
90 2 64465
73 5 69742
30 21 30592
81 26 76351
92 23 98398
76 12 64580
80 46 52051
28 35 15555
90 53 55477
7 84 74373
12 13 19804
96 39 37630
8 83 30475
23 17 85276
87 37 23205
9 68 35053
27 79 22137
26 16 96702
81 47 90796
62 83 40231
83 72 14452
54 96 13313
64 28 80770
1 52 37789
64 36 38620
9 92 3318
41 90 44908
49 49 29953
61 48 9221
74 33 15908
82 54 43969
45 14 9702
7 79 65084
64 100 44302
73 44 42928
69 96 96004
27 99 2862
23 97 59519
26 82 13439
77 5 74071
46 99 67714
77 23 7251
12 87 94706
26 75 30130
2 52 69204
83 80 74322
80 39 69632
65 65 70530
41 31 80356
85 92 183
16 87 28736
36 68 21130
38 62 57489
12 30 91217
89 1 63745
25 27 25796
18 13 97185
47 61 22651
47 4 35933
75 6 81720
90 38 66722
32 98 11083
27 95 89289
8 5 46912
57 51 20868
94 80 71824
45 61 83920
49 95 63676
100 98 56409
70 56 79319
4 20 42586
90 66 84321
39 72 90137
68 2 27196
13 43 89603
33 75 48091
89 79 22687
89 56 89314
26 87 51017
55 79 75870
63 25 8700
11 80 13654
56 33 73865
20 80 59924
43 83 54144
57 93 37716
80 88 42550
78 11 80284
58 22 35282
39 25 72875
3 42 99765
43 71 87133
30 8 87347
75 92 26015
5 54 98742
16 10 96883
73 83 46677
27 74 50697
35 11 36149
24 5 12416
87 4 93096
61 37 50419
11 93 79445
48 14 73191
64 57 84622
7 90 74361
37 64 47763
15 40 30556
79 44 44315
81 45 3979
92 32 60426
7 97 1571
15 74 8084
18 63 91095
63 6 26214
73 11 26575
43 43 18228
59 95 1255
77 95 65919
13 11 63282
70 50 82830
25 33 54572
52 44 17560
7 87 55552
38 81 85765
3 78 53972
41 61 38896
47 70 91815
12 91 47995
74 25 12938
33 49 27407
13 18 22606
3 62 59689
90 89 78203
25 95 98965
97 44 42782
77 16 38307
58 80 71868
65 3 82107
20 40 50261
32 33 56316
5 49 39432
67 46 86600
34 64 10095
21 93 36970
21 79 5607
85 5 1174
36 37 51294
48 4 97649
76 94 67084
95 4 57721
18 69 11648
24 82 65108
14 73 39610
73 96 71512
52 29 12638
67 95 47019
39 52 99575
64 60 66138
12 67 4381
56 9 8480
11 7 42323
2 44 51359
97 3 13466
62 47 28890
20 63 86700
8 76 50493
97 43 15387
3 80 52688
77 30 4094
9 72 31624
58 100 16908
49 72 3762
99 38 70257
2 49 7428
57 12 46892
54 69 32775
86 70 14653
92 50 12402
50 8 36316
28 84 2424
83 20 31051
42 52 42922
67 53 40706
40 93 38807
2 27 55178
22 59 24926
75 30 79066
66 8 97596
7 49 67072
62 24 17610
51 83 98229
35 94 23640
19 30 96466
2 67 45119
44 77 54275
63 98 26278
79 66 32980
50 96 5834
22 100 3155
100 45 39992
61 49 83284
34 89 73208
46 4 77727
81 33 98379
66 73 63371
52 96 55273
35 89 58924
71 27 98064
28 72 74995
97 27 9830
34 40 98840
76 63 88195
80 10 14537
32 59 77341
95 52 28670
87 92 73566
44 38 56873
50 81 78250
79 78 83153
69 26 24177
34 5 25470
42 88 38254
11 25 39188
41 94 41040
25 56 67732
74 74 21010
83 18 48743
21 31 66384
67 97 44363
15 56 23424
62 96 84159
36 59 64545
28 74 17772
25 89 72720
95 88 36212
34 47 62970
62 9 23702
44 15 48019
32 27 84394
80 28 77614
38 77 18394
22 69 20619
5 48 21843
89 54 16056
30 68 10680
74 99 54874
57 40 94048
56 61 75386
58 51 68588
75 86 80437
80 85 84619
88 14 79984
12 100 7369
78 79 74399
61 78 99477
80 12 53241
22 31 23814
33 52 71758
46 47 22707
15 36 77718
2 87 93100
13 10 55352
25 21 26880
95 4 40731
40 21 46860
15 33 13345
62 74 8489
44 74 27571
37 94 10519
50 43 72786
9 84 66520
98 45 43806
100 77 31701
51 86 1346
55 53 37709
16 96 43873
71 14 44840
25 14 89879
7 35 73027
47 45 43980
26 40 70944
26 1 35760
54 88 24614
81 2 47157
4 57 45705
32 43 18620
69 51 77417
88 65 32526
85 35 38267
25 55 33814
10 27 871
10 67 63576
6 12 14532
65 54 63867
2 85 12408
48 42 18024
66 35 73964
40 35 89915
34 37 79813
51 88 73580
38 8 19601
13 32 92583
53 34 78070
25 94 29970
95 92 15584
17 66 19605
19 85 37850
99 44 87266
26 9 9697
99 82 51006
27 9 27607
11 16 13967
9 99 47294
70 66 95764
47 42 49795
35 6 1642
80 26 88490
20 87 34935
17 62 31829
63 80 54511
37 44 88791
42 69 57443
35 31 94276
94 18 80541
95 97 44841
36 100 3229
42 75 161
73 69 63690
27 55 51495
19 37 120
36 30 35302
39 5 81688
55 6 19866
2 31 68029
63 96 84420
26 14 34097
77 33 74991
41 25 91393
4 65 51029
51 100 3467
8 92 46202
58 77 92824
43 44 48442
8 95 13932
46 98 33614
98 52 6524
15 23 19958
29 90 66452
70 83 103
66 7 75484
60 97 67679
8 95 96627
31 5 70515
15 66 19381
54 27 72645
65 57 82644
93 13 91075
74 68 90030
71 59 97008
40 33 94310
36 73 20177
87 20 81397
61 91 23594
78 76 6188
32 21 77776
95 57 27507
42 9 26266
39 55 91054
13 66 84336
29 10 6373
99 28 22865
96 33 94365
98 43 5981
55 75 56400
26 9 53262
17 7 63699
23 67 98942
12 97 94536
95 22 29377
85 1 91959
46 73 83359
20 55 90730
6 46 7660
55 61 20043
55 30 71767
21 41 58607
49 96 86947
39 59 11892
71 40 36395
82 6 37034
91 31 76383
12 60 50661
75 91 33440
59 82 34816
25 100 68474
42 35 44708
72 64 25781
43 29 94613
26 7 19606
87 12 88620
78 24 79946
73 15 36840
54 26 72099
35 6 83975
80 37 65980
62 29 35576
47 96 97323
91 12 39130
19 72 64509
22 88 82452
91 84 78314
64 77 77946
59 8 34418
22 28 56793
72 29 99737
50 73 28892
30 45 749
1 25 74366
89 85 27182
70 99 37233
50 55 51727
44 84 7902
22 97 74876
99 80 53169
98 4 24153
37 35 73380
75 80 88360
53 73 1274
50 50 48692
64 45 65159
46 67 90907
55 21 77947
79 86 58761
34 57 68204
65 39 97604
71 3 43380
8 69 57346
63 48 90727
45 96 25492
19 51 18275
60 55 10618
66 55 57256
1 18 31609
8 61 956
20 11 62243
70 36 12687
22 47 71052
10 38 19694
20 87 40960
88 60 52197
41 18 95225
9 5 19173
83 40 11407
77 58 53376
36 97 34313
3 32 46892
18 11 43084
58 72 71901
16 35 76478
15 31 74823
20 91 8141
90 68 27139
86 86 76110
65 74 88308
52 4 61053
10 61 2758
23 39 21686
100 79 4644
30 95 32406
60 39 45819
25 98 35219
66 1 13515
70 34 62969
9 55 84276
41 10 72256
3 10 14326
20 42 6697
35 45 88503
95 84 67767
65 63 88621
12 27 89554
98 51 99540
12 46 43113
57 25 28521
67 99 69627
7 38 21855
47 15 65154
37 62 29758
24 53 92972
94 57 68109
73 74 5385
58 68 99951
59 2 56590
95 37 1480
9 13 51707
76 89 29855
80 68 8366
79 5 31493
36 57 43817
14 68 11002
23 10 8377
77 67 52485
35 32 59596
52 6 3105
27 85 723
60 6 86680
84 37 76482
16 100 86094
5 5 70183
11 50 43431
44 13 94947
85 37 88378
74 42 26981
97 61 9523
55 4 71195
89 10 11228
76 51 27620
32 77 22963
50 94 96946
24 16 3587
27 13 18595
96 87 53839
76 84 40264
92 87 56196
37 66 79784
10 13 72797
15 13 28896
15 18 22616
90 52 71949
16 97 14110
22 82 97545
82 10 71612
59 97 93790
20 26 73707
99 13 35557
88 63 98360
29 39 11403
86 86 18902
53 53 12283
3 53 49236
74 96 95863
55 24 64736
53 50 11679
94 86 68930
62 80 1940
73 71 14963
67 47 83237
67 21 40216
56 36 27189
75 76 63739
37 80 58405
18 61 90362
94 5 85664
69 81 10216
52 4 18823
56 89 19987
71 37 50909
72 4 35505
35 19 79186
58 67 92602
31 93 11876
24 20 31947
62 33 50825
14 99 37612
18 30 74497
59 80 3295
4 96 85125
25 62 23494
15 48 19780
17 32 40307
9 9 11960
71 14 65466
57 84 44650
67 97 30198
70 97 86122
21 31 47646
35 91 52857
21 81 76458
91 32 30019
41 88 57323
25 99 20815
88 93 85989
55 66 95159
60 99 37898
69 98 91975
27 62 54333
79 77 77610
28 66 54897
10 37 24429
100 67 21241
8 76 13224
7 91 44735
49 73 25029
55 30 5564
13 100 3897
27 41 24669
84 27 23645
88 96 47171
96 32 16969
99 32 31906
76 44 52579
43 17 85386
96 77 36056
88 39 42904
92 13 65066
85 16 90865
46 82 63994
8 81 21603
71 51 81767
62 96 7868
99 74 54485
56 38 36559
79 81 99805
89 31 75141
23 58 84270
88 33 75371
58 4 2970
5 12 90592
63 21 77958
41 10 55652
21 52 28064
81 96 763
6 92 92555
90 92 46575
40 65 25754
38 91 343
20 90 20503
71 75 49338
41 37 76514
51 92 92220
71 35 24164
37 15 41680
33 50 25192
34 30 14536
12 53 44351
28 2 87376
39 45 75491
11 11 71548
85 9 29122
11 62 33955
96 79 85441
15 51 37241
8 58 80872
44 72 36990
74 73 8293
38 29 91110
70 68 84322
82 61 8626
49 24 38942
34 95 84235
36 54 11799
85 80 85090
26 78 58794
71 4 74269
52 100 90059
65 94 99397
1 43 91923
27 76 42656
90 6 79187
12 64 22705
90 14 10297
56 31 67725
11 35 69341
37 36 63349
94 1 53325
82 7 50348
54 85 3582
26 96 88134
73 92 47754
7 20 74865
71 53 98838
35 71 32415
100 7 36380
91 16 50956
26 95 46893
9 79 5682
70 71 92533
44 70 6688
33 4 55203
97 2 80227
73 17 32073
47 76 12980
91 34 44029
5 37 87092
92 94 68578
69 99 42731
81 77 71999
93 76 66686
81 58 24108
38 70 13275
27 71 65897
84 48 74262
19 36 92198
4 95 80368
77 29 47311
30 78 21103
33 82 42930
6 95 48063
68 7 88590
76 19 25200
11 74 63081
41 12 46937
9 84 65489
71 73 86033
57 96 70205
84 77 73911
88 97 82366
3 93 77830
72 76 16443
14 49 93642
84 7 32819
28 61 80808
51 14 77777
25 71 33042
36 65 6154
39 98 88266
97 10 30954
41 52 7631
41 48 87168
66 23 59892
77 86 47486
2 82 58627
30 57 6418
3 22 22244
66 79 21425
59 23 6009
84 73 82438
25 95 23840
88 35 60772
28 85 44610
43 88 16191
29 9 65742
23 49 22980
13 1 53148
67 95 82705
63 96 79121
9 77 17863
37 2 69546
41 30 5522
41 40 94314
90 71 82276
41 52 38829
31 18 98351
35 86 17724
91 23 97467
16 51 42604
42 17 95643
61 23 30406
21 4 31665
93 53 47609
76 41 85359
69 99 51235
4 33 93686
25 98 40600
70 63 13876
8 49 66003
7 38 22888
24 30 33716
44 40 77183
70 36 46275
2 79 43447
35 3 99745
34 78 74056
58 56 41583
88 79 26087
1 100 61327
67 30 18676
41 42 9350
70 58 67535
58 15 7199
39 55 8943
49 76 71376
10 66 26841
14 56 36029
92 72 34723
11 1 94739
88 31 55489
85 59 52755
90 64 67085
49 12 97422
97 6 17581
82 14 61437
55 48 79059
93 52 87437
72 94 86627
14 25 26740
48 54 50951
98 77 85227
51 76 34892
98 30 30079
77 99 66521
8 45 31725
87 52 6916
97 74 12426
23 79 14411
16 33 94990
66 36 61910
6 65 15490
53 34 64223
94 57 9369
29 34 13041
33 22 57556
75 9 87315
27 87 24704
19 85 87278
96 58 80505
1 55 42163
83 86 32926
17 9 71988
45 15 25964
69 78 30307
74 70 44741
5 46 22840
85 2 32212
97 23 59007
71 62 4784
19 84 83352
83 68 95666
62 70 41173
55 15 16505
97 37 65399
44 69 61903
4 24 33236
62 29 57410
67 43 49465
62 96 6522
85 96 88633
47 87 7364
11 98 51119
85 69 8430
28 58 29003
98 13 57607
86 68 22127
35 92 89970
22 86 50267
69 57 95696
12 9 18548
73 65 11423
31 28 84095
47 37 48827
76 77 83115
25 14 75029
6 99 85804
42 66 29475
47 61 75763
24 11 48904
5 63 67162
45 52 94828
97 15 25978
78 100 77299
69 86 47521
69 13 71194
60 38 12636
77 64 80475
6 6 23101
55 89 30078
93 8 44173
84 21 35086
48 98 74838
26 97 69762
8 65 80335
21 64 1185
20 31 90165
73 96 35945
35 86 15839
52 12 67831
51 1 17295
83 93 79667
73 28 50946
53 51 82379
91 44 19126
87 22 89735
78 38 68439
6 74 99891
43 9 840
29 34 994
98 31 65673
4 51 33146
69 4 29317
34 100 28138
35 37 4872
2 48 56943
49 87 28758
79 38 54480
44 52 99825
97 41 94596
31 96 94395
92 77 65672
87 82 21959
73 45 61903
100 26 52801
24 80 97087
51 29 35152
32 25 32555
33 43 35561
68 37 51229
52 4 57297
60 54 9667
13 42 68815
13 23 862
67 47 40636
61 100 4017
37 54 88015
41 17 49520
42 19 4647
77 66 74111
98 21 9067
35 8 18032
74 33 98138
60 89 88478
44 100 71314
5 86 15604
87 90 64636
84 31 41979
33 46 40697
78 13 11381
100 82 28688
43 46 80223
34 35 57333
18 7 96644
3 35 35953
25 71 33565
16 93 88074
6 75 96443
16 74 16095
21 14 15911
28 50 65248
19 50 27590
60 89 84579
92 14 89537
65 21 83334
99 17 81898
36 37 89639
77 20 43247
90 15 58541
38 11 72172
20 65 98386
55 59 88565
26 29 83983
33 64 51718
65 80 54870
29 42 4587
87 57 83768
20 51 41346
78 59 54257
44 10 65849
19 70 84346
68 66 59852
79 56 30960
81 7 55771
89 98 65389
7 73 23866
40 90 82075
19 68 62580
11 46 28941
7 42 49876
28 65 67854
7 41 59480
58 69 98585
99 94 3428
82 29 88229
98 32 28205
16 72 90703
82 41 90558
53 21 10155
1 86 3425
58 88 31304
71 47 5588
40 13 65159
35 55 42739
57 40 96353
75 10 28766
19 61 78443
43 46 7058
64 37 46219
45 18 45671
42 37 58756
32 43 46540
21 25 39657
56 16 17441
90 83 21630
70 45 26137
40 49 25959
13 72 22128
3 49 56742
82 90 65854
35 53 6170
92 95 75851
87 13 21174
57 52 51137
23 21 93394
96 63 40295
77 95 87732
30 2 49630
3 36 26157
61 79 99941
87 17 36283
69 16 21807
43 40 5548
14 53 96286
90 48 80723
30 22 25606
17 76 49529
56 12 85345
12 87 31865
53 51 11523
34 9 36097
94 94 58355
70 83 46131
13 40 7356
25 20 48028
36 3 46384
6 39 83126
19 77 34780
26 27 72869
6 22 99137
37 23 91870
29 38 13900
87 39 88513
56 24 19688
21 53 2896
93 14 23168
18 9 11819
25 71 11219
55 89 95956
23 63 98249
87 9 59641
83 33 21591
50 32 55222
83 76 45305
64 53 87003
42 96 82667
10 35 62035
65 11 81148
67 53 30465
94 92 49084
87 17 26908
29 82 54801
50 95 52891
42 57 55827
84 26 69118
68 67 80913
48 94 3451
68 65 18221
27 55 60015
11 1 62532
71 1 74577
39 74 71986
61 3 28287
2 53 35543
5 76 36854
69 92 68012
40 63 2746
94 15 1731
93 19 47587
17 64 69753
35 92 9201
22 42 97600
20 95 67041
58 80 54990
63 35 48310
51 19 39616
6 7 91220
82 6 75215
44 64 81901
90 43 4346
1 67 35021
64 70 16882
11 39 17372
47 79 17276
35 96 49355
39 95 74239
17 75 63509
58 68 32285
48 21 23963
7 32 43274
26 81 68958
50 19 67683
6 67 23628
78 12 10474
6 63 36321
48 14 86247
75 36 78241
28 41 3839
20 95 22087
10 13 88247
89 90 4794
94 34 57611
45 7 49803
85 52 94117
94 9 5357
20 53 35463
29 36 88732
62 63 95919
53 16 20844
88 2 50053
36 74 23828
58 64 46518
4 86 77134
7 28 53561
93 48 3322
78 35 32143
39 86 56571
75 8 70137
14 35 55295
11 41 99425
49 9 10818
5 83 69849
75 62 30997
84 5 87789
86 9 59152
64 67 87268
44 82 62904
22 13 50133
71 20 54230
32 92 51309
44 75 12625
94 33 39169
69 6 75785
91 96 82528
64 14 98297
53 20 23414
42 27 51193
10 70 82561
17 94 47413
34 2 46549
65 10 18322
66 28 94842
33 20 16435
72 31 48577
71 26 32318
69 100 9938
23 40 55491
10 28 86253
55 69 27627
44 65 393
75 8 23081
48 36 38048
28 33 2695
77 93 30543
39 2 1776
80 55 19309
24 57 46607
6 84 10420
90 70 78675
42 47 18658
97 42 27750
41 94 3954
6 91 78952
27 92 1897
14 50 59028
21 25 30307
13 87 95778
97 32 71121
81 9 44518
75 97 30298
31 53 86873
71 17 92973
2 33 59559
31 4 47033
88 52 2300
20 28 50834
92 68 7803
8 47 33310
1 67 24421
10 15 99063
34 69 42597
90 44 14070
61 47 88115
7 47 17467
14 63 1244
22 80 84231
21 60 61875
9 78 1483
79 70 72236
64 24 90427
74 65 94602
60 94 15468
51 11 6506
47 24 15639
50 40 83844
51 56 40209
1 86 50153
34 65 43217
42 28 51122
63 59 4653
33 2 88688
69 17 98780
50 87 12863
80 70 61008
61 70 12739
72 79 43
15 28 20710
15 93 11512
32 23 20807
14 38 41417
46 1 38482
56 6 92202
59 47 14402
91 43 31138
95 80 70232
69 69 41185
47 16 39791
48 94 84664
57 80 36812
45 40 59654
41 41 72517
98 53 73080
39 4 45514
33 95 65289
42 67 36912
41 48 16397
6 80 30968
79 31 57382
11 23 91744
94 3 2436
67 28 18205
93 54 99018
53 45 79608
67 96 32959
97 1 39463
11 36 97449
5 10 45037
1 87 15092
92 53 26267
84 55 35882
2 76 51706
19 65 56167
78 97 77918
78 79 96362
66 12 72950
42 4 54999
81 44 17908
12 12 70875
81 2 56902
31 43 2969
29 90 45634
87 13 63268
71 22 70038
21 34 60278
90 31 80195
44 98 98608
74 69 41221
85 10 96361
98 39 47171
53 16 54150
93 64 87345
64 39 60869
46 84 89132
2 6 59245
50 24 46159
40 82 69855
9 43 95911
79 27 16595
2 70 21975
39 28 20390
52 90 87521
32 65 22777
51 34 61896
27 96 37650
98 55 96378
32 17 93021
64 57 627
23 61 46691
56 40 82741
1 28 23838
17 91 58628
77 23 13128
55 16 81903
31 1 45888
48 63 38118
55 58 84837
39 99 26040
27 21 78569
23 32 56714
100 87 72481
21 11 55091
34 67 17627
47 56 88123
74 44 87962
72 64 64991
49 57 66708
21 72 2385
25 65 66522
40 68 36456
64 43 42415
18 99 99483
49 86 4199
93 99 40769
63 34 58202
8 49 34468
6 58 20364
1 3 53926
35 21 8692
98 58 80116
84 31 36087
87 28 66862
85 55 80459
90 93 20690
94 16 28205
52 35 30160
1 70 48117
46 34 79151
31 61 867
74 7 36248
87 81 93410
58 95 55597
2 94 93056
13 18 82710
83 75 84505
92 20 12505
78 85 68570
85 13 23609
21 29 2265
99 75 67603
99 31 4117
69 19 84769
83 92 31457
98 45 51862
28 36 73424
12 45 34646
76 71 95281
81 30 96630
71 51 19781
48 15 96532
71 96 87766
1 97 58924
42 97 61863
69 18 66382
50 65 62591
38 80 97995
77 26 31200
28 52 56494
38 62 63850
28 79 59090
53 50 7637
8 28 10040
37 24 75757
55 21 5229
61 54 87834
77 82 92722
31 2 48565
14 66 45871
70 21 76302
64 2 97900
44 76 62498
76 50 63087
29 47 31812
84 40 83844
79 26 7293
95 32 40717
83 88 56184
50 66 45367
93 29 20722
71 96 76624
78 53 2465
37 36 46369
71 67 43612
71 43 22474
17 85 77459
18 100 35582
60 91 4597
65 84 79889
18 90 96813
78 6 41066
81 70 30927
92 58 7710
38 69 53345
16 90 43025
72 14 34183
42 32 37267
85 71 14635
30 49 88080
17 63 52275
3 62 49055
20 12 73859
4 48 19910
41 95 58723
65 89 53646
88 70 51029
78 18 84858
92 35 77656
45 42 12108
29 61 37429
48 16 45254
6 65 57781
83 31 72417
10 84 64126
14 90 97616
47 52 35340
87 68 69302
29 2 87750
16 84 58467
61 32 46282
25 8 33214
29 10 13638
96 16 15112
6 94 61798
20 8 48440
86 57 46231
74 69 19222
91 10 32800
30 51 56731
62 48 91665
79 18 14199
76 94 557
67 27 7512
26 42 9826
98 20 72871
60 84 92821
28 18 3528
5 34 56152
46 42 65278
81 61 82405
42 37 60739
3 44 37814
1 34 46724
82 88 70428
92 36 25919
65 89 6720
69 88 1096
21 79 52696
63 48 27931
65 46 79278
87 5 95536
26 44 53243
14 73 80765
32 59 61967
99 55 42079
92 58 41412
30 59 59927
56 65 30386
9 15 55454
9 97 33616
35 33 35809
98 35 51934
48 12 19651
51 16 47472
60 62 13260
59 78 19575
39 88 9881
77 6 83480
12 34 69062
32 92 22504
42 97 61137
25 69 79989
34 25 32153
17 27 3493
53 88 91036
52 22 58401
68 83 34855
86 46 87677
95 9 429
83 64 29569
43 14 76936
80 48 3525
45 4 2519
65 28 97922
75 72 41508
97 92 23709
88 57 31563
97 96 40197
46 40 38735
80 73 76376
11 64 80727
78 40 77663
51 18 69930
76 51 28874
25 26 33904
9 51 81111
25 4 294
80 70 16812
52 38 41392
88 89 85031
10 96 40
43 43 34267
81 76 58402
79 32 44546
70 56 51325
51 13 50901
65 2 24955
6 22 61677
5 97 33457
86 81 34304
